period,planet_radius,semimajor_axis,stellar_radius,stellar_teff,id,planet_name,hue
20.581519441736006,10,0.3,1,1,-1455291985,RepoFolder,300030,
18.03658297827532,5,0.3,1,1,-1455291985,Perspective,700070,
18.53868592669094,20,0.3,1,1,-1455291985,LogView,600060,
32.42226827553587,5,0.3,1,1,-1455291985,IRepositoryItem,ffdfffe0,
24.38565420466509,20,0.3,1,1,-1455291985,BaseServiceTrackerWrapper,500050,
27.465216303202126,20,0.5,1,1,-1455291985,RepoView,600060,
33.7634367785422,15,0.3,1,1,-1455291985,RepoViewContentProvider,200020,
20.722646759888683,5,0.3,1,1,-1455291985,ViewLabelProvider,300030,
34.001489147952434,5,0.3,1,1,-1455291985,IDoubleClickListener,300030,
30.57409900996901,5,0.3,1,1,-1455291985,IMenuListener,300030,
35.97843503324455,5,0.3,1,1,-1455291985,RepoModel,700070,
34.1995188008984,5,0.3,1,1,-1455291985,IMenuListener,300030,
35.64874309008166,20,0.3,1,1,-1455291985,DetailView,600060,
17.92071309067505,5,0.3,1,1,-1455291985,Runnable,100010,
31.617499508888752,5,0.3,1,1,-1455291985,IDoubleClickListener,300030,
21.42788067548672,10,0.3,1,1,-1455291985,DetailViewActivator,300030,
33.78679002351448,25,0.3,1,1,-1455291985,Repository,300030,
35.85280299151545,5,0.3,1,1,-1455291985,SvnMonitorApplication,400040,
21.41702773537471,10,0.3,1,1,-1455291985,ModelActivator,500050,
26.57167113522035,5,0.3,1,1,-1455291985,ViewContentProvider,000000,
33.815725904694666,10,0.3,1,1,-1455291985,LogViewActivator,300030,
24.567704596013915,5,0.3,1,1,-1455291985,Action,400040,
22.74003326070193,10,0.3,1,1,-1455291985,RepoViewActivator,400040,
29.260460104222197,5,0.3,1,1,-1455291985,Action,400040,
36.86740080820301,5,0.3,1,1,-1455291985,ViewContentProvider,000000,
37.528043157307586,10,0.3,1,1,-1455291985,WorkbenchActivator,400040,
33.02514549691026,5,0.3,1,1,-1455291985,ApplicationActionBarAdvisor,000000,
35.08287115094242,5,0.3,1,1,-1455291985,RepoViewLabelProvider,200020,
34.582726522307645,5,0.3,1,1,-1455291985,IDoubleClickListener,300030,
28.292950791099422,5,0.3,1,1,-1455291985,Action,500050,
30.39310469890249,5,0.3,1,1,-1455291985,ApplicationWorkbenchAdvisor,300030,
32.41007812810894,10,0.3,1,1,-1455291985,RepoModelTrackerWrapper,300030,
34.948707240824916,5,0.3,1,1,-1455291985,ServiceListener,500050,
23.72453821967982,10,0.3,1,1,-1455291985,IRepository,ffdfffe0,
24.704816374134897,10,0.3,1,1,-1455291985,BaseActivator,400040,
20.022693142713244,5,0.3,1,1,-1455291985,ApplicationWorkbenchWindowAdvisor,500050,
25.76455747042894,5,0.3,1,1,-1455291985,IRepoModel,ffdfffe0,
22.498690172392372,5,0.3,1,1,-1455291985,IMenuListener,300030,
30.845298558928956,5,0.3,1,1,-1455291985,ViewLabelProvider,300030,
